Раздел;Помещение;Наименование;Ед.;Кол-во;Цена ₽;Сумма ₽
Черновые работы;Гостиная-кухня;Стяжка и подготовка пола;м²;20,8;650;13520
Черновые работы;Гостиная-кухня;Штукатурка стен по маякам;м²;45,1;850;38335
Черновые работы;Гостиная-кухня;Потолок ГКЛ + окраска (1-й уровень);м²;20,8;1100;22880
Черновые работы;Гостиная-кухня;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;14,8;1450;21460
Черновые работы;Гостиная-кухня;3-й уровень: «парящий» остров с теневой щелью;м²;4;2100;8468
Черновые работы;Гостиная-кухня;ТВ-ниша ГКЛ, LED 3000K по контуру (2400×1500, глуб. 100);шт.;1;6500;6500
Черновые работы;Гостиная-кухня;Электромонтаж (свет 22 + розетки/выкл. 7);точка;29;3500;101500
Чистовая отделка;Гостиная-кухня;Шпаклёвка и окраска стен (2 слоя);м²;45,1;900;40590
Чистовая отделка;Гостиная-кухня;Укладка напольного покрытия;м²;20,8;800;16640
Чистовая отделка;Гостиная-кухня;Монтаж плинтуса;м.п.;17,5;450;7875
Материалы;Гостиная-кухня;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;11,3;3900;43973
Материалы;Гостиная-кухня;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;21,8;5200;113568
Материалы;Гостиная-кухня;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;17,5;550;9625
Черновые работы;Спальня;Стяжка и подготовка пола;м²;13,6;650;8840
Черновые работы;Спальня;Штукатурка стен по маякам;м²;35,9;850;30515
Черновые работы;Спальня;Потолок ГКЛ + окраска (1-й уровень);м²;13,6;1100;14960
Черновые работы;Спальня;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;11,2;1450;16240
Черновые работы;Спальня;Мягкая панель изголовья, лён (2600×1120, глуб. 100);шт.;1;9500;9500
Черновые работы;Спальня;Ниша над изголовьем, LED 3000K (2600×600, глуб. 100);шт.;1;6500;6500
Черновые работы;Спальня;Электромонтаж (свет 13 + розетки/выкл. 5);точка;18;3500;63000
Чистовая отделка;Спальня;Шпаклёвка и окраска стен (2 слоя);м²;35,9;900;32310
Чистовая отделка;Спальня;Укладка напольного покрытия;м²;13,6;800;10880
Чистовая отделка;Спальня;Монтаж плинтуса;м.п.;13,9;450;6255
Материалы;Спальня;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;9;3900;35003
Материалы;Спальня;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;14,3;5200;74256
Материалы;Спальня;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;13,9;550;7645
Черновые работы;Детская;Стяжка и подготовка пола;м²;8,6;650;5590
Черновые работы;Детская;Штукатурка стен по маякам;м²;28,2;850;23970
Черновые работы;Детская;Потолок ГКЛ + окраска (1-й уровень);м²;8,6;1100;9460
Черновые работы;Детская;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;8,2;1450;11890
Черновые работы;Детская;Ниша-стеллаж с подсветкой (1200×1000, глуб. 100);шт.;1;6500;6500
Черновые работы;Детская;Электромонтаж (свет 6 + розетки/выкл. 3);точка;9;3500;31500
Чистовая отделка;Детская;Шпаклёвка и окраска стен (2 слоя);м²;28,2;900;25380
Чистовая отделка;Детская;Укладка напольного покрытия;м²;8,6;800;6880
Чистовая отделка;Детская;Монтаж плинтуса;м.п.;11;450;4950
Материалы;Детская;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;7;3900;27495
Материалы;Детская;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;9;5200;46956
Материалы;Детская;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;11;550;6050
Черновые работы;Санузел;Стяжка и подготовка пола;м²;4,8;650;3120
Черновые работы;Санузел;Штукатурка стен по маякам;м²;22,6;850;19210
Черновые работы;Санузел;Потолок ГКЛ + окраска (1-й уровень);м²;4,8;1100;5280
Черновые работы;Санузел;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;5,3;1450;7685
Черновые работы;Санузел;Ниша-полка над ванной, LED, полка стекло (1200×350, глуб. 100);шт.;1;6500;6500
Черновые работы;Санузел;Электромонтаж (свет 4 + розетки/выкл. 3);точка;7;3500;24500
Чистовая отделка;Санузел;Облицовка плиткой (стены/пол);м²;27,4;2000;54800
Материалы;Санузел;Плитка керамогранит (стены+пол, +10% подрезка);м²;30,1;2600;78364
Черновые работы;Прихожая;Стяжка и подготовка пола;м²;8,6;650;5590
Черновые работы;Прихожая;Штукатурка стен по маякам;м²;29,8;850;25330
Черновые работы;Прихожая;Потолок ГКЛ + окраска (1-й уровень);м²;8,6;1100;9460
Черновые работы;Прихожая;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;8,2;1450;11890
Черновые работы;Прихожая;Ниша банкетки с подсветкой (900×1350, глуб. 100);шт.;1;6500;6500
Черновые работы;Прихожая;Электромонтаж (свет 6 + розетки/выкл. 2);точка;8;3500;28000
Чистовая отделка;Прихожая;Шпаклёвка и окраска стен (2 слоя);м²;29,8;900;26820
Чистовая отделка;Прихожая;Укладка напольного покрытия;м²;8,6;800;6880
